employee_id,competence_id,level,interest
EMPLOYEE_1,99vvo91542,2,0
EMPLOYEE_1,8ys96p08p4,5,0
EMPLOYEE_1,860966ekgo,4,0
EMPLOYEE_1,9i6ta81748,1,0
EMPLOYEE_1,sq0c9q6116,5,0
EMPLOYEE_1,u69o196gu6,5,1
EMPLOYEE_1,1dz4n8r554,4,1
EMPLOYEE_1,00b51s9rc5,1,0
EMPLOYEE_1,13z458t54u,4,1
EMPLOYEE_2,8ys96p08p4,1,1
EMPLOYEE_2,9a5d39t62b,3,1
EMPLOYEE_2,sq0c9q6116,1,1
EMPLOYEE_2,860966ekgo,1,1
EMPLOYEE_2,4s23kdq383,5,1
EMPLOYEE_2,mg54my1580,5,0
EMPLOYEE_2,o9e8s72z21,1,0
EMPLOYEE_2,1b043jw49b,2,1
EMPLOYEE_2,3h9eab1489,2,0
EMPLOYEE_2,2mi55kl065,3,1
EMPLOYEE_2,3bgx2a6278,3,0
EMPLOYEE_3,860966ekgo,1,0
EMPLOYEE_3,13z458t54u,2,0
EMPLOYEE_3,1b043jw49b,4,1
EMPLOYEE_3,3bgx2a6278,2,1
EMPLOYEE_3,3h9eab1489,2,0
EMPLOYEE_3,2mi55kl065,4,1
EMPLOYEE_3,4s23kdq383,2,1
EMPLOYEE_3,1dz4n8r554,4,1
EMPLOYEE_3,mg54my1580,4,0
EMPLOYEE_4,13z458t54u,3,1
EMPLOYEE_4,3bgx2a6278,4,1
EMPLOYEE_4,99vvo91542,2,1
EMPLOYEE_4,4s23kdq383,1,0
EMPLOYEE_4,1dz4n8r554,2,1
EMPLOYEE_4,8ys96p08p4,4,1
EMPLOYEE_4,aa985fr035,4,1
EMPLOYEE_4,0690r7o8r2,1,0
EMPLOYEE_4,o9e8s72z21,5,1
EMPLOYEE_4,00b51s9rc5,3,0
EMPLOYEE_4,7d4t7002v7,4,0
EMPLOYEE_4,1b043jw49b,1,1
EMPLOYEE_4,860966ekgo,2,0
EMPLOYEE_4,u69o196gu6,5,0
EMPLOYEE_4,3h9eab1489,3,0
EMPLOYEE_4,2mi55kl065,5,0
EMPLOYEE_4,mg54my1580,3,1
EMPLOYEE_4,9i6ta81748,1,1
EMPLOYEE_5,00b51s9rc5,1,0
EMPLOYEE_5,mg54my1580,1,0
EMPLOYEE_5,9a5d39t62b,4,0
EMPLOYEE_5,u69o196gu6,5,1
EMPLOYEE_5,99vvo91542,5,0
EMPLOYEE_5,0690r7o8r2,4,1
EMPLOYEE_5,sq0c9q6116,5,1
EMPLOYEE_5,3h9eab1489,2,0
EMPLOYEE_6,13z458t54u,2,0
EMPLOYEE_6,9i6ta81748,1,0
EMPLOYEE_6,7d4t7002v7,1,0
EMPLOYEE_6,0690r7o8r2,1,0
EMPLOYEE_6,sq0c9q6116,4,0
EMPLOYEE_6,1dz4n8r554,5,1
EMPLOYEE_6,9a5d39t62b,4,1
EMPLOYEE_6,y2s2861s9p,1,0
EMPLOYEE_6,00b51s9rc5,4,1
EMPLOYEE_6,aa985fr035,4,1
EMPLOYEE_6,3h9eab1489,1,0
EMPLOYEE_6,mg54my1580,3,0
EMPLOYEE_6,u69o196gu6,2,0
